review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R203HPW78Z7N4K,5,0,0,N,Y
R2EAIGVLEALSP3,5,1,1,N,Y
R1K1CD73HHLILA,5,0,0,N,Y
R2KZBMOFRMYOPO,5,1,1,N,Y
R6BIZOZY6UD01,5,0,0,N,Y
R1MCXZFNF8E7Y0,1,0,0,N,Y
R3EMB3E3ODR6BW,5,2,2,N,Y
RJTONVTTOPJ5S,5,0,0,N,Y
R21U5QZ2CQECUM,4,0,0,N,Y
RL2BBC51H89DH,4,0,0,N,Y
R3RNEPHF3WIRSZ,2,0,0,N,N
R38DNT9KML2PF3,5,0,0,N,Y
R2ECMBJM8KNNC8,4,0,0,N,Y
R2F3F92PRN9T7S,5,0,0,N,Y
R35XNT88XVEMK6,5,1,1,N,Y
RZRXLHQS71FUP,4,1,1,N,Y
R3J9T4MZRAURV5,1,0,0,N,Y
R3CLDHHI0ZSQLO,5,1,2,N,N
RY52KZABZK8QF,1,0,0,N,Y
R25RXV5X29M3UC,4,0,1,N,Y
RKQC9RROJH33B,4,0,0,N,Y
R185RN2PC6T26W,1,10,11,N,N
R2V3WG9G43XHYO,5,1,1,N,Y
R13YBEPG5ZHUOT,4,0,0,N,Y
R1X3BXEUQKZJSR,5,0,0,N,Y
R1IZQJMRVQ01MC,2,2,4,N,Y
R2BJL530W0E4PB,5,0,0,N,Y
R1K6VIGRAOX6RF,1,0,0,N,N
RDXGL0IV0EDF3,5,1,1,N,Y
R1RMA59NTUPJ77,1,0,0,N,Y
R3T0GBAW0XECFU,4,4,4,N,Y
R19OTUYMXIE0Y9,5,0,0,N,Y
RNQTD1YV2PED,5,0,1,N,Y
R3JCYALU15ELCV,3,0,0,N,Y
R1QXNQBTH7LIUB,3,9,22,N,Y
RT2Z6R4KN1YJR,5,0,0,N,Y
R2RNUWNK18MTT7,5,0,0,N,Y
R3GCOEV4HYZG2I,5,0,0,N,Y
R3MN8IM8W6G1YH,1,0,0,N,Y
R1V2OPPNL0QGCE,4,0,0,N,Y
RP6ZGEG8AP1FR,5,0,0,N,Y
R1Q7ARAE2DCRGE,5,0,2,N,Y
R1CI57E6MTQ612,5,0,0,N,Y
R1A2378ORPPM84,5,0,0,N,Y
R1EWS25SGGC2L1,5,1,1,N,Y
R103GF6OTTUHH3,3,1,1,N,N
R2ZCSGSSAZRHEB,4,6,6,N,Y
R2TIA0ZTBEKZGA,3,3,5,N,Y
R13E6D979KAPH7,2,5,6,N,Y
R24LFYJHPZZDTW,5,0,0,N,Y
R117W4W02NWSMJ,5,0,0,N,Y
R1KK443NDRFPRS,2,0,0,N,Y
R3JPV9C8X8VYHM,1,5,5,N,N
R2IIAJBQ4617MU,5,0,0,N,Y
R1Z04NZPDUOP4K,4,0,0,N,Y
R3UPZXSOMZ5GS1,5,2,2,N,Y
R2T2W7YQIPZT86,4,5,6,N,Y
R3VNPYGGB9JWQP,5,0,0,N,Y
R2OTIC0WW9NLJA,5,0,0,N,Y
R2MRDUZ74XROPE,5,0,0,N,Y
RTZ2XARMZREU5,3,1,4,N,Y
R11OOLG1IBI4TN,5,0,0,N,Y
RF4GAAB04XP0E,1,0,0,N,Y
R36DF71L5RVLTI,5,0,0,N,Y
R1SRMJ0A01222R,5,1,1,N,Y
R9Q0QDTLKV567,3,0,1,N,Y
RK250HC0DN7VN,5,0,0,N,Y
RPQ8QNNMR1FW2,1,0,0,N,N
R2ASWDH36LJUT,5,0,0,N,Y
R3A3MWNNT8802C,4,0,0,N,Y
R2GLRDP69JNBIV,5,1,1,N,Y
R37RZ44IJMX6BT,5,0,0,N,Y
R1HEM7P73TFED8,4,0,0,N,Y
R269WV5G7GMZV6,5,5,5,N,N
RHNLX34P3YDFV,2,0,0,N,Y
R2QH3EAZ3U8GUZ,5,1,1,N,Y
R3FPFCOOQRJF2G,1,0,0,N,Y
R2VPDKXVJURZJY,5,0,0,N,Y
R1L1T78DTX7GQ3,5,3,3,N,Y
RL231S8EJE9FP,1,0,1,N,N
R28EICZV9II195,5,0,0,N,Y
R3DL7HYC3QTWNI,4,0,0,N,Y
RR0W92AYSBHNL,1,9,12,N,Y
R2LZKLEG88XODU,1,0,1,N,Y
R226P682LXVTPC,5,0,0,N,Y
R2VN00GI89ZI3W,1,0,0,N,N
R3P4SNPQ8M45G1,5,0,0,N,Y
R257799AWB5XM9,5,0,0,N,Y
R1H0ALP7TM7ACZ,5,0,0,N,Y
R3PB6NLITWJ3R4,4,0,0,N,Y
R258P9A6FO88VW,5,1,1,N,Y
R1UJ6EW1ZLXHQZ,5,0,0,N,Y
R3H66JMMCD1DI7,5,1,1,N,Y
R1V00ZIV9BGFDP,4,0,0,N,Y
R3M88678ZYC6WI,5,0,0,N,Y
R2Y7Y73EDU1ZGP,1,0,0,N,N
R2T3KWH951QC6W,5,1,1,N,Y
R1US0U0FTJ44IT,5,0,0,N,Y
R1QUD4OTJDTU7X,3,0,0,N,Y
R3BC75VKJK6LNV,4,83,89,N,Y
R1LR4HA6RN2CEY,5,0,0,N,Y
R292CRUDUXGG7D,5,0,0,N,Y
R1K3PHN7ALW43T,4,6,6,N,Y
R1L69DOBWQFPMX,5,0,0,N,Y
R38M1V6UQN5B3P,5,0,0,N,Y
R1FBBG2GJH27XY,4,0,0,N,Y
R3VTMV8TH3GNRG,5,0,0,N,Y
R2QGJ1NUX9WHUU,4,13,13,N,N
R1O6HQIO8JRGV4,5,0,0,N,Y
RUUC78BTV98OU,4,0,0,N,Y
R1HJUL9CYIVVZ0,5,1,1,N,Y
R38T49B22HXV6U,5,0,0,N,Y
R1APTL2XMCR7T8,5,6,8,N,Y
R148H5X0QNK9GD,3,0,2,N,Y
R1OUZQ78KIVOCC,5,3,3,N,Y
R2MN0PVDUQBFT0,3,0,1,N,Y
R1QNI0C0CBC1S3,5,1,1,N,Y
RBJ2IURYBIF7Y,1,2,15,N,N
R32RTHSCSZKMX4,4,0,0,N,Y
R2ZD9IF19HZRU9,3,0,0,N,Y
R178FOTEOZ7BKX,4,10,11,N,N
R3LUOPS8POUB94,5,1,1,N,Y
R147PUKOS7MP6S,1,1,1,N,Y
R154OSMHS3VZFT,5,0,1,N,Y
